Player Name,Team,Pos,Games,OG,OA,Pts,+/-,PIM,SOG,GWG,PPG,PPA,SHG,SHA,Hits,BS
Timothy Liljegren,TOR,D,67,6,12,18,24,30,84,0,0,1,1,1,107,93
Juuso Parssinen,NSH,LW,45,6,19,25,-1,15,49,3,1,7,0,0,76,18
Simon Holmstrom,NYI,RW,50,6,3,9,-4,0,39,2,0,0,0,0,9,22
Brett Leason,ANH,RW,54,6,3,9,-21,14,51,1,0,0,0,0,35,18
Nils Lundkvist,DAL,D,60,6,10,16,-5,26,94,2,1,2,0,0,49,67
Martin Fehervary,WAS,D,67,6,10,16,-11,31,91,1,0,0,0,0,217,128
Jesse Ylonen,MON,LW,37,6,10,16,-11,0,43,1,1,0,0,0,14,28
Connor Dewar,MIN,C,81,6,12,18,-5,50,87,0,0,0,3,1,124,50
Dylan Guenther,ARI,RW,33,6,9,15,-7,10,53,1,4,2,0,0,18,11
Jake Neighbours,STL,LW,43,6,4,10,-19,24,53,1,1,1,0,0,63,21
Braden Schneider,NYR,D,81,5,13,18,9,16,79,1,0,0,0,0,147,130
Arber Xhekaj,MON,D,51,5,8,13,-9,101,75,0,2,1,0,0,159,46
Pontus Holmberg,TOR,LW,37,5,8,13,0,18,27,2,1,0,0,0,24,18
Moritz Seider,DET,D,82,5,37,42,-11,40,140,1,1,14,1,1,207,190
Philip Tomasino,NSH,C,31,5,13,18,5,6,54,0,4,2,0,0,28,16
Elmer Soderblom,DET,LW,21,5,3,8,0,8,30,2,0,0,0,0,21,11
Drew O'Connor,PIT,C,46,5,6,11,-3,12,62,0,0,0,0,0,63,14
Pierre-Olivier Joseph,PIT,D,75,5,16,21,8,44,108,1,1,2,0,0,88,36
Mathieu Olivier,CLS,RW,66,5,10,15,-20,81,75,1,0,0,0,0,178,58
Mikey Eyssimont,TB,C,54,5,10,15,3,63,124,0,0,0,0,0,107,19
Nick Perbix,TB,D,69,5,15,20,11,22,111,2,0,0,0,0,73,65
Sebastian Aho,NYI,D,71,5,18,23,9,22,89,0,0,2,0,0,38,69
Mikey Anderson,LA,D,77,5,15,20,20,40,90,1,1,0,0,1,162,129
Zach Whitecloud,VGK,D,59,5,7,12,10,41,64,1,0,0,0,0,90,97
Adam Boqvist,CLS,D,46,5,19,24,-12,8,68,1,0,9,0,0,23,47
Mason Appleton,WPG,C,41,5,11,16,2,8,71,0,1,0,0,0,47,11
A.J. Greer,BOS,LW,61,5,7,12,9,114,66,1,0,0,0,0,101,25
Boris Katchouk,CHI,LW,58,5,11,16,-10,27,68,2,0,0,0,1,85,15
Jesse Puljujarvi,CAR,RW,75,5,11,16,-13,32,125,1,0,0,0,0,139,26
Luke Kunin,SJ,C,31,5,8,13,-9,32,58,0,2,2,0,0,63,27
Connor Clifton,BOS,D,78,5,18,23,20,60,93,0,0,0,1,0,208,120
Brett Pesce,CAR,D,82,5,25,30,11,43,144,2,1,3,0,2,37,110
Ryan Pulock,NYI,D,82,5,21,26,10,14,126,1,1,4,0,0,140,128
Patrick Maroon,TB,LW,80,5,9,14,-5,150,62,0,0,1,0,0,172,12
Ryan Reaves,MIN,RW,73,5,10,15,-6,43,48,0,0,0,0,0,196,24
Derek Stepan,CAR,C,73,5,6,11,8,8,98,0,0,0,0,1,29,21
Derek Forbort,BOS,D,54,5,7,12,12,23,38,2,0,0,2,0,106,88
Jeff Petry,PIT,D,61,5,26,31,2,24,113,0,2,7,0,0,190,111
Ben Chiarot,DET,D,76,5,14,19,-31,51,110,0,0,0,0,0,147,164
Nick Jensen,WAS,D,77,5,24,29,-1,18,109,0,0,0,0,1,107,128
Derek Grant,ANH,C,46,5,13,18,-4,26,72,0,0,2,0,0,36,26
Scott Harrington,ANH,D,45,4,7,11,-6,10,33,1,0,0,0,0,51,78
Nick Seeler,PHI,D,77,4,10,14,1,56,84,0,0,0,0,1,126,161
Josh Leivo,STL,LW,51,4,12,16,0,25,91,0,0,0,0,0,55,13
Matt Grzelcyk,BOS,D,75,4,22,26,46,28,102,2,0,0,0,0,51,78
Colton Parayko,STL,D,79,4,23,27,-19,30,133,1,0,2,0,1,115,144
Teddy Blueger,VGK,C,63,4,12,16,-9,30,85,1,0,0,0,1,71,47
Matt Dumba,MIN,D,79,4,10,14,-8,81,99,2,0,0,0,0,104,116
Brad Hunt,COL,D,47,4,6,10,4,12,46,0,0,0,0,0,16,10
Morgan Rielly,TOR,D,65,4,37,41,-9,21,126,1,1,16,0,0,70,85
Mark Giordano,TOR,D,78,4,20,24,27,53,107,1,0,0,1,0,60,147
Luke Schenn,TOR,D,70,4,18,22,8,84,81,0,0,0,0,2,318,98
Kevin Shattenkirk,ANH,D,75,4,23,27,-20,56,145,0,1,7,0,0,79,115
Josh Brown,ARI,D,68,4,3,7,-18,87,68,0,0,0,0,0,152,118
MacKenzie Weegar,CGY,D,81,4,27,31,15,43,160,1,0,3,0,1,186,117
Saku Maenalanen,WPG,LW,64,4,6,10,0,16,61,0,0,0,0,0,113,31
Pierre-Edouard Bellemare,TB,C,73,4,9,13,-9,34,51,0,0,0,0,2,67,48
Patrick Brown,OTT,C,61,4,8,12,-2,44,60,0,0,0,1,0,167,42
Nicolas Aube-Kubel,WAS,C,53,4,8,12,1,40,67,0,0,0,0,0,117,9
Michael McLeod,NJ,C,80,4,22,26,6,43,90,1,0,0,0,1,127,51
Dylan Gambrell,OTT,C,60,4,6,10,-4,25,46,0,0,0,0,2,60,45
Josh Mahura,FLA,D,82,4,12,16,17,48,78,1,0,0,0,0,101,70
Jonas Siegenthaler,NJ,D,80,4,17,21,27,44,84,1,1,0,0,0,101,151
John Marino,NJ,D,64,4,14,18,21,20,67,0,0,0,0,1,44,81
Caleb Jones,CHI,D,73,4,12,16,-19,40,86,1,1,3,0,0,116,118
Martin Kaut,SJ,RW,36,4,4,8,-4,4,44,1,1,0,0,0,23,5
Cole Guttman,CHI,C,14,4,2,6,1,2,26,1,0,0,0,0,4,8
Mario Ferraro,SJ,D,72,4,7,11,-31,24,66,0,0,1,0,0,129,145
Mackenzie Entwistle,CHI,RW,66,4,6,10,-11,14,50,0,0,1,0,0,126,28
Jack Studnicka,VAN,C,48,4,4,8,-12,16,65,1,0,0,0,0,61,19
Vitali Kravtsov,VAN,RW,44,4,4,8,3,10,43,0,1,2,0,0,28,15
Zack MacEwen,LA,C,56,4,6,10,-11,66,73,3,0,0,0,0,150,29
Juuso Valimaki,ARI,D,78,4,30,34,-10,59,93,1,1,11,0,0,53,98
Cole Smith,NSH,LW,69,4,13,17,-3,60,64,1,0,0,0,2,198,25
Yegor Chinakhov,CLS,RW,30,4,9,13,-6,10,44,0,1,1,0,0,27,17
Jake Sanderson,OTT,D,77,4,28,32,-6,12,132,0,2,15,0,0,43,147
Alexei Protas,WAS,C,58,4,11,15,-8,12,83,0,0,0,0,0,39,15
Reese Johnson,CHI,RW,57,4,2,6,-15,38,54,1,0,0,0,0,178,23
Vasily Podkolzin,VAN,RW,39,4,3,7,-5,9,41,0,0,0,0,0,52,15
Jakub Lauko,BOS,C,23,4,3,7,2,11,17,1,0,0,0,0,44,6
Jordan Harris,MON,D,65,4,13,17,-3,26,70,0,0,1,0,0,53,98
Isac Lundestrom,ANH,LW,61,4,10,14,-13,2,60,0,0,0,1,0,20,43
Ben Meyers,COL,LW,39,4,0,4,-6,6,33,0,0,0,0,0,25,13
Nick Blankenburg,CLS,D,36,4,10,14,-16,16,50,1,0,4,0,0,61,49
Owen Power,BUF,D,79,4,31,35,10,24,130,1,0,8,0,1,27,86
Kaiden Guhle,MON,D,44,4,14,18,-19,27,48,0,0,0,0,0,84,77
Justin Barron,MON,D,39,4,11,15,-2,20,40,1,1,1,1,0,49,38
Juraj Slafkovsky,MON,LW,39,4,6,10,-13,33,42,0,1,1,0,0,53,24
Nils Aman,VAN,C,68,4,12,16,-12,18,50,1,0,0,0,2,44,41
Tyson Foerster,PHI,RW,8,3,4,7,2,8,15,0,0,1,0,0,12,10
Dylan Holloway,EDM,C,51,3,6,9,0,27,44,1,0,0,0,0,83,16
Cole Sillinger,CLS,C,64,3,8,11,-23,22,93,0,2,1,0,0,105,36
Marcus Bjork,CLS,D,33,3,8,11,-9,42,34,0,1,5,0,0,45,47
Calen Addison,MIN,D,62,3,26,29,-17,22,77,1,0,18,0,0,19,38
Simon Benoit,ANH,D,78,3,7,10,-29,60,82,0,0,0,0,0,216,128
Alexander Holtz,NJ,RW,19,3,1,4,-6,8,21,0,2,0,0,0,6,4
Connor Mackey,ARI,D,30,3,4,7,-4,48,31,0,0,0,0,0,61,29
Quinton Byfield,LA,C,53,3,19,22,13,30,74,0,1,0,0,0,53,16
Nikita Alexandrov,STL,C,28,3,4,7,0,8,28,0,0,0,0,0,28,13
Jakob Pelletier,CGY,LW,24,3,4,7,-5,2,48,1,2,1,0,0,15,14
Nils Hoglander,VAN,LW,25,3,6,9,-4,6,29,0,0,0,0,0,21,8
Henri Jokiharju,BUF,D,60,3,10,13,-12,30,79,0,0,0,0,0,63,58
Nicolas Hague,VGK,D,81,3,14,17,7,51,103,1,0,0,0,0,117,133
Jan Rutta,PIT,D,56,3,6,9,3,30,64,0,0,0,0,0,71,70
Jonah Gadjovich,SJ,LW,35,3,4,7,-3,57,32,0,0,0,0,0,92,5
Johnny Kovacevic,MON,D,77,3,12,15,3,39,92,0,0,0,0,0,93,86
Sean Walker,LA,D,70,3,10,13,-3,36,94,1,0,1,0,0,77,104
Karson Kuhlman,WPG,C,47,3,4,7,-4,8,48,2,0,0,0,0,41,18
Jordan Gross,NSH,D,15,3,0,3,-3,2,24,0,1,0,0,0,10,16
Rasmus Kupari,LA,C,66,3,12,15,-5,12,53,0,0,0,0,1,80,34
Filip Zadina,DET,RW,30,3,4,7,-5,10,51,2,0,0,0,0,22,15
Mathieu Joseph,OTT,RW,56,3,15,18,5,36,66,0,1,2,2,1,80,28
Ethan Bear,VAN,D,61,3,13,16,6,25,75,1,0,0,0,1,39,82
Will Borgen,SEA,D,82,3,17,20,11,47,76,1,0,0,0,0,203,89
Anthony Richard,MON,C,13,3,2,5,2,6,13,1,0,0,0,0,25,3
Rudolfs Balcers,TB,LW,17,3,2,5,-1,4,24,0,0,0,0,0,7,4
Lane Pederson,CLS,C,27,3,3,6,-1,26,27,0,0,0,0,0,68,11
Brandon Carlo,BOS,D,75,3,13,16,44,38,94,0,0,0,0,2,128,116
Jeremy Lauzon,NSH,D,67,3,9,12,-11,66,77,0,0,0,0,1,250,75
Jansen Harkins,WPG,C,22,3,2,5,4,12,18,0,0,0,0,0,16,11
Kieffer Bellows,PHI,LW,28,3,0,3,-8,6,32,1,0,0,0,0,48,10
Dryden Hunt,CGY,LW,37,3,0,3,-10,24,23,0,0,0,0,0,100,4
Artem Zub,OTT,D,53,3,7,10,2,39,41,0,0,0,0,0,131,67
Troy Stecher,CGY,D,81,3,11,14,-6,44,88,1,0,0,0,0,70,92
Jacob Middleton,MIN,D,79,3,12,15,15,72,79,0,0,0,0,1,115,155
Liam O'Brien,ARI,C,56,3,8,11,-5,114,39,0,0,0,0,0,203,28
Zach Werenski,CLS,D,13,3,5,8,-6,0,41,0,0,2,0,0,5,24
Austin Czarnik,DET,C,29,3,2,5,-4,8,27,0,0,1,0,0,16,13
Carson Soucy,SEA,D,78,3,13,16,18,68,87,0,0,0,0,1,143,96
Curtis Lazar,NJ,C,49,3,2,5,-6,21,55,0,0,0,0,0,138,53
Ian Cole,TB,D,78,3,14,17,13,61,109,0,0,0,0,0,117,123
Max Pacioretty,CAR,LW,5,3,0,3,0,2,16,0,1,0,0,0,4,1
Ryan Suter,DAL,D,82,3,22,25,0,26,92,1,0,4,0,1,81,115
Marc Staal,FLA,D,82,3,12,15,10,43,55,0,0,0,0,0,152,122
Alec Martinez,VGK,D,77,3,11,14,30,29,76,2,0,0,1,0,48,244
Dmitry Kulikov,PIT,D,67,3,13,16,-13,34,84,0,0,0,0,0,96,108
David Savard,MON,D,62,3,17,20,-14,40,63,1,0,0,0,1,61,176
Sam Carrick,ANH,C,52,3,4,7,-17,86,50,0,0,0,0,0,98,24
Luke Glendening,DAL,C,70,3,3,6,-9,50,65,0,0,0,2,0,114,60
Chris Tierney,MON,C,36,3,7,10,-8,6,19,0,0,0,0,1,15,21
Jake McCabe,TOR,D,76,3,22,25,19,56,96,1,0,0,0,0,163,151
Brett Kulak,EDM,D,82,3,17,20,12,41,114,0,0,0,0,3,105,106
Ben Hutton,VGK,D,31,3,5,8,1,6,52,0,0,1,0,0,18,34
Rasmus Ristolainen,PHI,D,74,3,17,20,-4,32,86,0,1,4,1,2,162,142
Lukas Sedlak,FA,C,30,3,5,8,4,12,44,0,0,0,0,1,58,31
Jonas Brodin,MIN,D,60,3,11,14,13,30,90,0,0,0,0,2,50,130
Brenden Dillon,WPG,D,82,2,21,23,2,76,83,0,0,0,0,1,198,108
Josh Manson,COL,D,27,2,8,10,13,42,41,2,0,0,0,0,64,41
Colin Blackwell,CHI,C,53,2,8,10,-16,6,53,0,0,0,0,1,49,17
Joel Edmundson,MON,D,61,2,11,13,-29,58,69,0,0,0,0,1,112,149
Jonathan Drouin,MON,C,58,2,27,29,-18,18,69,0,0,9,0,0,29,23
Vinnie Hinostroza,BUF,RW,26,2,9,11,-1,6,38,1,0,0,0,1,1,7
Jayson Megna,ANH,LW,55,2,6,8,-21,6,36,0,0,0,0,0,47,23
Justin Holl,TOR,D,80,2,16,18,15,39,60,1,0,0,0,0,151,139
Radko Gudas,FLA,D,72,2,15,17,14,79,110,0,0,0,0,0,312,124
Jon Merrill,MIN,D,73,2,10,12,-2,38,43,0,0,0,0,0,47,107
Jarred Tinordi,CHI,D,44,2,6,8,-17,40,32,1,0,0,0,0,139,68
Nick Leddy,STL,D,78,2,21,23,4,20,79,1,0,0,0,0,43,96
Calvin de Haan,CAR,D,53,2,10,12,7,20,51,0,0,0,0,0,84,49
Zack Kassian,ARI,RW,51,2,0,2,-18,50,25,0,0,0,0,0,32,8
Oliver Ekman-Larsson,VAN,D,54,2,20,22,-24,22,90,0,0,4,0,1,58,43
Robert Bortuzzo,STL,D,43,2,3,5,9,29,30,0,0,0,0,0,64,49
T.J. Brodie,TOR,D,58,2,12,14,10,14,58,0,0,0,0,1,47,111
Zac Dalpe,FLA,C,14,2,2,4,-4,2,17,0,0,0,0,0,15,6
Matt Irwin,WAS,D,61,2,3,5,-8,36,79,0,0,0,0,0,117,75
Jack Johnson,COL,D,83,2,6,8,-15,28,92,0,0,0,0,2,117,127
Alexander Edler,LA,D,64,2,9,11,-1,34,56,1,0,0,0,0,106,104
Alex Goligoski,MIN,D,46,2,4,6,-9,16,63,2,0,1,0,0,33,67
Ryan McDonagh,NSH,D,71,2,18,20,12,22,78,1,0,0,0,0,63,165
Nick Holden,OTT,D,65,2,14,16,0,10,73,0,0,0,0,1,79,69
Michael McCarron,NSH,C,32,2,2,4,-3,24,39,0,0,0,0,1,75,20
John Hayden,SEA,C,7,2,0,2,2,7,9,0,0,0,0,0,4,3
Anthony Duclair,FLA,LW,20,2,7,9,4,2,43,0,0,0,0,0,20,9
Zach Sanford,NSH,LW,16,2,1,3,-3,4,20,1,0,0,0,0,21,21
Robert Hagg,DET,D,38,2,5,7,-5,26,40,0,0,0,0,0,111,47
Nathan Walker,STL,C,56,2,8,10,10,25,43,1,0,0,0,0,82,35
Kyle Burroughs,VAN,D,48,2,3,5,-4,62,47,0,0,0,0,0,165,84
Jordan Oesterle,DET,D,52,2,9,11,-9,19,54,0,0,0,0,0,41,68
Jake Evans,MON,LW,54,2,17,19,-5,28,55,0,1,0,0,2,27,41
Anders Bjork,CHI,LW,14,2,6,8,4,2,15,0,0,0,0,0,8,4
Brendan Lemieux,PHI,LW,45,2,7,9,-3,74,44,0,0,0,0,0,131,15
Ilya Lyubushkin,BUF,D,68,2,12,14,-2,38,41,1,0,0,1,1,99,104
Logan Brown,STL,C,30,2,4,6,-4,8,18,0,0,0,0,0,22,7
Dante Fabbro,NSH,D,79,2,9,11,-4,50,101,0,0,1,0,0,113,129
Rasmus Asplund,NSH,C,46,2,6,8,-6,4,54,0,0,0,1,0,23,11
Erik Cernak,TB,D,70,2,14,16,8,53,87,0,0,0,1,1,209,100
Kyle Capobianco,WPG,D,14,2,0,2,1,6,14,1,0,0,0,0,12,6
Alexandre Carrier,NSH,D,43,2,7,9,0,27,48,1,0,0,0,0,57,67
Daniil Miromanov,VGK,D,14,2,4,6,-6,2,22,0,1,2,0,0,7,13
Dylan Samberg,WPG,D,63,2,6,8,10,25,49,0,0,0,0,1,91,93
Robin Salo,NYI,D,11,2,2,4,1,4,9,0,0,0,0,0,6,13
Jacob Peterson,SJ,LW,12,2,6,8,-12,4,21,0,2,0,0,0,12,5
Cal Foote,NSH,D,50,2,5,7,6,63,39,0,0,0,0,0,58,52
Erik Brannstrom,OTT,D,74,2,16,18,5,38,74,0,0,1,0,0,49,103
Conor Timmins,TOR,D,27,2,12,14,-1,8,19,1,0,4,0,0,23,18
Josh Norris,OTT,C,8,2,1,3,-1,6,15,0,0,0,0,0,7,6
Matt Luff,DET,RW,19,2,2,4,-4,0,20,0,0,0,0,0,22,9
Justin Danforth,CLS,RW,6,2,1,3,-3,4,10,0,0,0,0,0,7,1
Gavin Bayreuther,CLS,D,51,2,12,14,-18,23,61,0,0,1,0,0,54,71
Michael Carcone,ARI,C,9,2,1,3,3,2,15,0,0,0,0,0,16,1
Tanner Laczynski,PHI,C,32,2,2,4,-5,2,23,0,0,0,0,0,30,10
Samuel Bolduc,NYI,D,17,2,1,3,5,2,20,1,0,0,0,0,26,16
Samuel Fagemo,LA,LW,9,2,1,3,-4,0,5,0,0,0,0,0,5,6
Cam York,PHI,D,54,2,18,20,-1,18,42,0,0,3,0,1,44,69
Aatu Raty,VAN,C,15,2,1,3,0,4,16,0,0,0,0,0,19,5
Nick Robertson,TOR,LW,15,2,3,5,2,0,27,1,0,0,0,0,18,7
Joe Snively,WAS,LW,12,2,2,4,3,0,16,0,0,0,0,0,4,6
Alexander Romanov,NYI,D,76,2,20,22,13,43,100,0,0,0,0,1,198,129
Jack Drury,CAR,C,38,2,6,8,3,14,69,1,0,1,0,0,12,16
Mattias Samuelsson,BUF,D,55,2,8,10,14,20,76,0,0,0,0,1,107,91
Kevin Bahl,NJ,D,42,2,6,8,4,35,27,0,0,0,0,0,64,38
Simon Edvinsson,DET,D,9,2,0,2,-7,12,5,0,0,0,0,0,11,8
William Eklund,SJ,LW,8,2,1,3,-5,6,18,0,0,1,0,0,7,6
Ridly Greig,OTT,C,20,2,7,9,1,12,30,0,0,3,0,0,33,3
Matt Kiersted,FLA,D,20,1,3,4,4,6,14,0,0,0,0,0,13,7
Isaak Phillips,CHI,D,16,1,4,5,-10,5,16,0,0,0,0,0,27,6
Danil Gushchin,SJ,RW,2,1,1,2,-1,0,8,0,1,1,0,0,0,5
Sean Farrell,MON,LW,6,1,0,1,-2,0,8,0,0,0,0,0,0,2
Luke Hughes,NJ,D,2,1,1,2,0,0,2,1,0,0,0,0,1,3
Filip Roos,CHI,D,17,1,2,3,-5,4,19,0,0,0,0,0,14,20
Cole McWard,VAN,D,5,1,0,1,0,0,6,0,0,0,0,0,5,6
Pavol Regenda,ANH,LW,14,1,2,3,-3,4,17,0,0,0,0,0,8,13
Lucas Condotta,MON,LW,1,1,0,1,0,0,5,0,0,0,0,0,3,0
Shane Wright,SEA,C,8,1,1,2,4,2,4,0,0,0,0,0,1,6
Egor Sokolov,OTT,LW,5,1,1,2,2,0,5,1,0,0,0,0,5,2
Jake Lucchini,OTT,LW,11,1,0,1,-2,0,14,1,1,0,0,0,16,1
Joona Luoto,CLS,RW,7,1,0,1,-7,0,7,0,0,0,0,0,11,3
Milos Kelemen,ARI,LW,14,1,0,1,-5,23,12,0,0,0,0,0,26,6
Nikolai Knyzhov,SJ,D,12,1,0,1,-13,8,10,0,0,0,0,0,11,16
Tim Berni,CLS,D,59,1,2,3,-26,34,58,0,0,0,0,0,122,74
John Leonard,NSH,C,6,1,0,1,0,2,4,1,0,0,0,0,4,4
Cole Koepke,TB,LW,17,1,0,1,-5,2,12,0,0,0,0,0,32,5
Tyler Tucker,STL,D,26,1,3,4,-9,31,21,0,0,0,0,0,50,26
Trey Fix-Wolansky,CLS,RW,9,1,0,1,-5,0,19,0,0,0,0,0,11,8
Aidan McDonough,VAN,LW,6,1,0,1,-2,2,4,0,0,0,0,0,7,2
Tyler Angle,CLS,LW,2,1,0,1,-2,0,5,0,0,0,0,0,2,0
Lukas Rousek,BUF,LW,2,1,1,2,2,0,3,0,0,0,0,0,0,1
Nikita Nesterenko,ANH,LW,9,1,0,1,-3,0,23,0,0,0,0,0,6,1
Matej Blumel,DAL,LW,6,1,0,1,-2,0,7,0,0,0,0,0,7,2
Radim Zohorna,TOR,RW,10,1,0,1,-1,0,9,0,0,0,0,0,7,2
Philip Broberg,EDM,D,46,1,7,8,6,2,32,0,0,0,0,0,28,35
